Sales,Quantity,Discount,Profit
218.75,2,0.5,-161.875
2.6,1,0.2,0.2925
66.284,2,0.8,-178.9668
35.168,7,0.2,9.6712
444.768,4,0.2,44.4768
83.92,4,0,5.8744
131.98,2,0,35.6346
15.92,4,0,7.4824
52.29,9,0,16.2099
91.99,1,0,3.6796
20.8,2,0.2,6.5
23.68,2,0.2,8.88
452.45,5,0.5,-244.323
62.982,3,0.4,-14.6958
1188,9,0.7,-950.4
89.584,2,0.2,4.4792
93.06,6,0,26.0568
302.376,3,0.2,22.6782
5.584,2,0.2,1.8148
22.704,6,0.2,8.2302
19.776,4,0.7,-13.8432
72.704,4,0.2,19.0848
479.988,4,0.7,-383.9904
27.168,2,0.2,2.7168
2.2,1,0,0.968
622.45,5,0,136.939
21.98,1,0,0.2198
161.568,2,0.2,-28.2744
389.696,8,0.2,43.8408
18.648,7,0.7,-12.432
233.86,2,0.45,-102.048
620.6145,3,0.45,-248.2458
5.328,2,0.7,-3.552
258.072,3,0.2,0
617.976,3,0.2,-7.7247
10.56,2,0,4.752
25.92,5,0.2,9.396
419.68,5,0.6,-356.728
11.688,3,0.6,-4.6752
31.984,2,0.2,11.1944
177.225,5,0.5,-120.513
4.044,3,0.6,-2.8308
7.408,2,0.2,1.2038
2001.86,7,0,580.5394
166.72,2,0,41.68
47.88,6,0,23.94
1503.25,5,0,496.0725
25.92,4,0,12.4416
321.568,2,0.2,28.1372
7.61,1,0,3.5767
3347.37,13,0,636.0003
80.58,6,0,22.5624
361.92,4,0,162.864
12.132,9,0.6,-8.4924
82.368,2,0.2,-19.5624
53.92,5,0.2,4.044
647.904,6,0.2,56.6916
20.37,3,0,6.9258
221.55,3,0,6.6465
17.52,5,0.2,6.132
1.624,2,0.8,-4.466
3059.982,3,0.4,-509.997
2519.958,7,0.4,-251.9958
328.224,4,0.2,28.7196
79.9,2,0,35.156
14.016,3,0.2,4.7304
7.56,6,0,0.3024
37.208,1,0.2,-7.4416
57.576,3,0.2,21.591
725.84,4,0,210.4936
209.93,7,0,92.3692
5.28,3,0,2.3232
10.92,3,0.2,4.095
8.82,2,0,4.0572
5.98,1,0,1.5548
11.648,2,0.2,4.0768
18.176,4,0.2,5.9072
59.712,6,0.2,5.9712
24.84,3,0.2,8.694
2.08,5,0.8,-3.432
1114.4,7,0.2,376.11
1038.84,5,0.2,51.942
141.76,5,0.2,47.844
239.8,5,0.2,47.96
31.104,6,0.2,10.8864
254.058,7,0.7,-169.372
194.528,2,0.2,24.316
961.48,5,0.2,-204.3145
19.096,7,0.2,6.6836
18.496,8,0.2,6.2424
255.984,2,0.2,54.3966
86.97,3,0.5,-48.7032
300.416,8,0.2,78.8592
230.352,3,0.2,20.1558
218.352,3,0.2,-24.5646
78.6,5,0.7,-62.88
27.552,3,0.2,9.2988
32.4,5,0,15.552
1082.48,8,0,10.8248
56.91,3,0,27.3168
77.6,4,0,38.024
14.28,1,0,6.5688
219.075,3,0.5,-131.445
26.8,2,0,12.864
9.84,3,0,2.8536
45.48,3,0,20.9208
289.2,6,0,83.868
4.89,1,0,2.0049
15.136,4,0.2,3.5948
466.768,2,0.2,52.5114
15.232,1,0.2,1.7136
6.264,3,0.2,2.0358
87.54,3,0,37.6422
178.384,2,0.2,22.298
15.552,3,0.2,5.4432
99.136,4,0.2,8.6744
135.882,1,0.1,24.1568
3991.98,2,0,1995.99
275.94,6,0,80.0226
360,4,0,129.6
43.57,1,0,13.071
7.16,2,0,3.58
251.52,6,0.2,81.744
99.99,1,0,34.9965
15.992,1,0.2,0.9995
290.898,3,0.4,-67.8762
54.224,2,0.2,3.389
786.744,4,0.3,-258.5016
100.24,10,0.2,33.831
37.764,6,0.7,-27.6936
82.8,2,0.4,-20.7
20.724,2,0.7,-13.816
4.896,3,0.7,-3.4272
4.752,1,0.2,1.6038
959.984,2,0.2,335.9944
14.368,4,0.2,4.49
7.712,2,0.2,2.7956
698.352,3,0.2,-17.4588
4.96,4,0,2.3312
17.856,4,0.2,1.116
509.97,10,0.7,-407.976
30.992,13,0.2,10.0724
71.928,12,0.4,8.3916
88.8,4,0.2,-2.22
47.976,3,0.2,4.7976
7.56,3,0,3.0996
24.56,2,0,11.5432
12.96,2,0,4.1472
6.79,1,0,2.3086
24.56,2,0,11.5432
3.048,1,0.2,1.0668
49.12,4,0,23.0864
4355.168,4,0.2,1415.4296
388.704,6,0.2,-4.8588
8.26,2,0,3.7996
17.04,4,0,6.9864
34.4,5,0,15.824
36.24,5,0.2,11.325
647.84,8,0,168.4384
20.7,2,0,9.936
20.7,2,0,9.936
488.646,3,0.1,86.8704
5.56,2,0,1.4456
47.12,8,0,20.7328
211.96,4,0,8.4784
23.2,4,0,10.44
7.36,2,0,0.1472
104.79,7,0,29.3412
1043.92,4,0,271.4192
25.92,5,0.2,9.396
53.424,3,0.2,4.6746
8.16,5,0.7,-5.712
1023.936,8,0.2,179.1888
9.24,1,0.2,0.924
479.04,10,0.2,-29.94
99.136,4,0.2,30.98
1488.424,7,0.3,-297.6848
8.652,3,0.8,-20.3322
23.832,3,0.2,2.6811
12.176,4,0.8,-18.8728
50.96,7,0,25.48
49.536,3,0.2,17.3376
41.9,2,0,8.799
375.4575,3,0.45,-157.0095
83.976,3,0.2,-1.0497
482.34,4,0.7,-337.638
2.96,1,0.2,0.777
2.624,1,0.2,0.4264
23.36,4,0.2,7.884
39.98,2,0,13.5932
246.384,2,0.2,27.7182
1799.97,3,0,701.9883
12.462,3,0.8,-20.5623
75.792,3,0.2,25.5798
49.96,2,0,9.4924
12.96,2,0,6.2208
70.12,4,0,21.036
35.952,3,0.2,3.5952
2396.2656,4,0.32,-317.1528
131.136,4,0.2,-32.784
57.584,2,0.2,0.7198
9.568,2,0.2,3.4684
39.072,6,0.2,9.768
35.91,3,0,9.6957
179.95,5,0,37.7895
1199.976,3,0.2,434.9913
27.15,5,0,13.3035
1004.024,7,0.2,-112.9527
9.68,1,0,4.6464
28.35,9,0,13.608
55.98,1,0,27.4302
1336.829,13,0.15,31.4548
113.568,2,0.2,-18.4548
139.86,7,0,65.7342
307.136,4,0.2,26.8744
95.92,8,0,25.8984
383.8,5,0.2,38.38
5.78,1,0,2.8322
9.32,4,0,2.7028
15.25,1,0,7.015
196.752,6,0.2,56.5662
56.56,4,0,14.7056
32.7,3,0,8.502
866.4,4,0,225.264
28.4,2,0,11.076
287.92,8,0,138.2016
69.99,1,0,30.0957
6.672,6,0.2,0.5004
189.588,2,0.7,-145.3508
408.744,7,0.2,76.6395
291.96,5,0.2,54.7425
4.768,2,0.2,-0.7748
714.3,5,0,207.147
4.812,2,0.7,-3.6892
247.8,5,0.2,-18.585
1007.979,3,0.3,43.1991
313.488,7,0.2,113.6394
31.872,8,0.2,11.5536
207.846,3,0.1,2.3094
12.22,1,0,3.666
194.94,3,0,23.3928
70.95,3,0,20.5755
91.36,4,0,42.0256
242.94,3,0,29.1528
22.05,7,0,10.584
2.91,1,0,1.3677
59.52,3,0,15.4752
161.94,3,0,9.7164
263.88,6,0,71.2476
30.48,3,0,7.9248
9.84,3,0,2.8536
35.12,4,0,9.1312
284.364,2,0.4,-75.8304
665.408,2,0.2,66.5408
63.88,4,0,24.9132
129.568,2,0.2,-24.294
747.558,3,0.3,-96.1146
8.928,2,0.2,3.348
103.92,4,0,36.372
899.91,9,0,377.9622
51.312,3,0.2,18.6006
23.56,5,0.2,7.068
1272.63,6,0.5,-814.4832
28.485,5,0.7,-20.889
185.376,2,0.2,-34.758
78.272,2,0.2,5.8704
254.744,7,0.6,-312.0614
205.3328,2,0.32,-36.2352
4.788,3,0.8,-7.9002
55.48,1,0,26.6304
340.92,3,0,3.4092
222.666,2,0.15,10.4784
703.968,4,0.2,87.996
92.52,6,0,24.9804
62.65,7,0,28.819
94.85,5,0,45.528
95.76,6,0.2,7.182
40.2,3,0,19.296
14.7,5,0,6.615
704.25,5,0,84.51
9.09,3,0,1.9089
5.96,2,0,1.6688
159.98,2,0,57.5928
29.6,2,0,14.8
514.165,5,0.15,-30.245
279.96,5,0.2,17.4975
2735.952,6,0.2,341.994
7.992,1,0.2,0.5994
63.984,2,0.2,10.3974
70.368,2,0.2,6.1572
449.15,5,0,8.983
11.07,3,0,5.0922
93.98,2,0,13.1572
189.882,3,0.4,-94.941
105.42,2,0,51.6558
119.616,8,0.2,40.3704
255.76,4,0,81.8432
241.568,2,0.2,18.1176
69.3,9,0,22.869
22.62,2,0.7,-15.08
14.952,2,0.7,-11.9616
801.568,2,0.2,50.098
2.376,3,0.7,-1.9008
32.792,1,0.2,11.8871
15.92,5,0.2,5.373
2.74,1,0,0.7398
8.34,3,0,2.1684
46.74,3,0,11.685
6354.95,5,0,3177.475
126.3,3,0,40.416
38.04,2,0,12.1728
7.152,3,0.2,0.7152
6.63,3,0,1.7901
5.88,2,0,1.7052
2999.95,5,0,1379.977
51.45,3,0,13.8915
11.96,2,0,5.382
1126.02,3,0,56.301
18.392,1,0.2,5.2877
129.568,2,0.2,-25.9136
14.112,9,0.8,-21.168
210.98,2,0,21.098
55.176,3,0.2,-12.4146
66.26,2,0,27.1666
22.2,5,0,10.434
683.952,3,0.2,42.747
45.696,3,0.2,5.1408
36.336,3,0.2,-7.2672
666.248,1,0.2,-149.9058
52.512,6,0.2,19.692
190.72,1,0.2,11.92
47.94,3,0,2.397
979.95,5,0,274.386
22.75,5,0,11.375
16.768,2,0.2,1.4672
42.616,7,0.8,-68.1856
10.752,4,0.2,3.36
152.94,3,0,41.2938
283.92,4,0,70.98
468.9,6,0,206.316
380.864,8,0.2,38.0864
646.776,9,0.2,-145.5246
58.112,2,0.2,7.264
100.792,1,0.2,6.2995
66.112,4,0.6,-84.2928
41.28,6,0.2,13.932
13.36,2,0,6.4128
250.272,9,0.2,15.642
11.364,3,0.8,-17.046
8.72,5,0.2,-1.744
1121.568,2,0.2,0
34.504,1,0.2,6.0382
10.824,3,0.2,2.5707
1295.78,2,0,310.9872
19.456,4,0.2,3.4048
20.7,2,0,9.936
1335.68,4,0.2,-217.048
32.4,5,0,15.552
42.6,3,0,16.614
84.056,7,0.2,27.3182
13,5,0.2,1.3
13.128,3,0.2,3.7743
3.96,2,0,0
2.61,1,0,1.2006
374.376,3,0.2,46.797
91.84,8,0,45.0016
81.088,7,0.2,27.3672
19.44,3,0,9.3312
451.152,3,0.2,0
72.45,7,0,34.776
13.96,4,0,6.4216
33.264,7,0.2,11.2266
14.85,3,0,4.0095
8.82,3,0,2.3814
160.72,14,0,78.7528
19.92,4,0,9.7608
7.3,2,0,2.19
69.712,2,0.2,8.714
8.792,1,0.6,-5.7148
51.52,4,0,1.5456
470.376,3,0.2,52.9173
105.584,2,0.2,9.2386
31.152,3,0.2,3.5046
6.783,7,0.7,-4.7481
406.368,4,0.2,30.4776
70.98,1,0,4.9686
294.93,3,0,144.5157
84.784,2,0.2,-20.1362
20.736,4,0.2,7.2576
16.821,3,0.7,-12.8961
10.368,2,0.2,3.6288
9.344,2,0.2,1.168
31.2,3,0.2,9.75
76.12,2,0,22.0748
1199.976,3,0.2,434.9913
445.96,5,0.2,55.745
327.76,8,0,91.7728
11.632,2,0.2,1.0178
143.982,3,0.4,-28.7964
494.376,4,0.4,-115.3544
5.84,2,0.2,0.73
142.776,1,0.2,17.847
45.696,3,0.2,5.1408
7.218,3,0.7,-5.5338
43.188,4,0.7,-31.6712
131.904,3,0.2,47.8152
3.282,2,0.7,-2.6256
21.168,9,0.2,2.3814
55.188,2,0.4,-10.1178
369.576,3,0.2,41.5773
15.712,4,0.2,5.6956
8.448,2,0.2,2.64
728.946,9,0.4,-157.9383
119.94,10,0.4,15.992
3.648,2,0.7,-2.7968
40.48,2,0,15.7872
9.94,2,0,3.0814
107.424,9,0.2,33.57
37.91,1,0,10.9939
88.02,3,0,27.2862
8.69,5,0.8,-14.773
301.96,2,0,87.5684
555.21,5,0.1,178.901
523.48,4,0,130.87
161.82,9,0,46.9278
35.56,7,0,12.0904
97.16,2,0,28.1764
15.24,5,0.2,5.1435
13.23,3,0,6.0858
243.384,3,0.2,-51.7191
119.8,5,0.2,29.95
300.768,4,0.2,30.0768
17.88,3,0.2,2.4585
235.944,3,0.2,85.5297
392.94,3,0,43.2234
18.882,3,0.7,-13.8468
122.328,3,0.2,12.2328
1049.2,5,0,272.792
15.424,4,0.2,5.0128
18.84,3,0,6.0288
330.4,2,0,85.904
26.25,7,0,12.6
132.52,4,0,54.3332
6.48,1,0,3.1752
209.3,2,0,56.511
31.56,5,0.2,9.8625
30.144,2,0.2,3.0144
14.8,4,0,6.068
302.376,3,0.2,22.6782
316,4,0,31.6
379.4,10,0,178.318
97.82,2,0,45.9754
103.12,8,0,10.312
113.552,2,0.2,8.5164
3.318,2,0.7,-2.6544
134.288,2,0.2,45.3222
701.372,2,0.3,-50.098
2.308,2,0.8,-3.462
999.432,7,0.2,124.929
724.08,14,0.2,-135.765
918.785,5,0.3,-118.1295
2.724,3,0.8,-4.2222
459.95,5,0,18.398
10.74,3,0,5.2626
23.76,3,0.2,2.079
85.056,3,0.2,28.7064
381.576,3,0.2,28.6182
30.36,5,0.2,8.7285
23.976,3,0.6,-14.3856
108.925,1,0.5,-71.8905
36.352,8,0.2,11.36
19.56,5,0.2,1.7115
61.44,3,0,16.5888
38.9,5,0,17.505
99.39,3,0,40.7499
2.688,3,0.8,-7.392
27.816,3,0.2,4.5201
82.524,3,0.6,-41.262
182.994,3,0.8,-320.2395
14.352,3,0.2,4.6644
64.96,2,0,2.5984
68.6,4,0,18.522
7999.98,4,0.5,-3839.9904
167.44,2,0.2,14.651
479.97,3,0,163.1898
14.62,2,0,6.8714
19.44,3,0,9.3312
191.984,2,0.2,4.7996
104.01,1,0,14.5614
284.82,1,0,74.0532
36.84,3,0,10.3152
166.24,1,0,24.936
33.4,5,0,16.032
198.272,8,0.2,17.3488
47.36,4,0.2,17.76
200.984,7,0.2,62.8075
97.696,4,0.2,31.7512
2.696,1,0.2,0.8088
18.588,2,0.7,-13.6312
4.896,3,0.7,-3.4272
15.072,3,0.2,4.1448
209.88,3,0,35.6796
369.912,3,0.2,-13.8717
10.368,2,0.2,3.6288
166.84,5,0.2,18.7695
15.216,1,0.2,2.2824
119.96,4,0,52.7824
883.92,5,0.2,-110.49
46.72,8,0.2,15.768
55.48,1,0,26.6304
24.448,4,0.2,8.8624
281.34,6,0,109.7226
307.98,2,0,89.3142
299.97,3,0,113.9886
19.92,5,0.2,6.972
9.94,2,0,3.0814
103.056,3,0.2,24.4758
59.808,3,0.2,19.4376
73.32,6,0,21.996
146.82,3,0,73.41
1652.94,3,0,231.4116
296.37,3,0,80.0199
129.92,5,0.2,21.112
45.584,7,0.2,5.1282
17.568,2,0.2,6.3684
55.992,1,0.2,5.5992
182.72,8,0,84.0512
400.032,2,0.4,-153.3456
33.63,3,0,10.089
542.646,3,0.1,102.4998
6.3,2,0,3.024
242.94,3,0,9.7176
179.97,3,0,86.3856
99.696,6,0.2,33.6474
27.936,4,0.2,9.4284
84.98,1,0,18.6956
18.72,5,0.2,6.552
49.98,2,0,8.4966
11.784,3,0.2,4.2717
272.736,3,0.2,-64.7748
3.54,2,0.8,-5.487
51.52,5,0.2,-10.948
3.528,1,0.2,1.1466
4.624,1,0.2,1.6762
55.168,4,0.2,6.2064
567.12,10,0.2,-28.356
359.32,4,0,7.1864
11.992,1,0.2,0.8994
58.05,3,0,26.703
157.74,11,0,56.7864
56.98,7,0,22.792
2.88,1,0,1.4112
1199.976,3,0.2,374.9925
79.92,4,0,28.7712
383.438,4,0.45,-167.3184
24.56,2,0,6.8768
119.8,4,0,47.92
13.128,3,0.2,4.2666
22.72,4,0,10.224
58.32,9,0,27.9936
12.39,3,0,5.6994
107.982,3,0.4,-26.9955
11.36,2,0,5.3392
50.94,3,0,25.47
646.74,6,0,258.696
5.64,3,0,2.7072
572.58,6,0,34.3548
310.88,2,0.2,23.316
641.96,2,0,179.7488
18.28,2,0,9.14
207,3,0,51.75
32.35,5,0,16.175
7.71,1,0,3.4695
40.3,2,0,10.881
34.58,7,0,14.5236
32.76,7,0.2,3.6855
544.008,3,0.2,40.8006
59.94,3,0,28.1718
23.92,4,0,11.7208
4.28,1,0,1.926
32.07,5,0.7,-22.449
24,2,0.2,-2.7
35.49,1,0.5,-15.6156
47.984,2,0.2,0.5998
186.69,3,0,87.7443
17.456,2,0.2,5.8914
348.928,2,0.2,34.8928
143.96,4,0,69.1008
15.42,1,0,4.1634
43.04,8,0,21.0896
332.94,3,0,79.9056
1363.96,5,0.2,85.2475
9.96,2,0,4.5816
21.72,4,0,10.6428
20.16,7,0,9.8784
132.79,7,0,63.7392
12.96,2,0,6.2208
21.56,7,0,10.3488
283.92,5,0.2,17.745
22.23,1,0,7.3359
215.968,2,0.2,18.8972
355.32,9,0,99.4896
12.96,2,0,6.2208
18.28,2,0,6.2152
43.176,3,0.2,4.3176
1983.968,4,0.2,247.996
28.4,2,0,11.076
149.97,3,0,50.9898
11.52,4,0,3.2256
1298.55,5,0,311.652
213.92,4,0,62.0368
25.78,2,0,2.578
18.28,2,0,6.2152
1399.93,7,0,601.9699
51.84,8,0,24.8832
5.344,1,0.2,1.8704
41.472,8,0.2,14.5152
3.168,3,0.7,-2.4288
1228.465,5,0.3,0
31.086,3,0.7,-22.7964
335.52,4,0.2,117.432
239.97,3,0,71.991
9.82,2,0,4.8118
67.8,4,0,4.068
167.97,3,0,40.3128
35,7,0,16.8
37.24,4,0,10.7996
15.28,2,0,7.4872
301.96,2,0,90.588
180.66,3,0,50.5848
191.98,2,0,51.8346
65.99,1,0,17.1574
35.216,2,0.2,2.6412
23.696,2,0.2,6.5164
265.475,1,0.5,-111.4995
51.184,4,0.8,-79.3352
9.664,2,0.2,3.2616
21.072,3,0.2,1.5804
60.45,3,0,16.3215
11.52,4,0,3.3408
186.048,4,0.2,9.3024
37.44,4,0.2,11.7
26.976,4,0.2,8.7672
11.36,2,0,3.2944
14.62,2,0,6.8714
83.72,7,0,23.4416
287.94,3,0,77.7438
48.896,4,0.2,8.5568
115.36,7,0,49.6048
5.16,2,0,1.3416
38.88,6,0,18.6624
185.88,6,0,50.1876
44.46,2,0,14.6718
242.94,3,0,9.7176
39.96,2,0,18.7812
102.3,10,0,26.598
21.36,2,0,5.7672
7.61,1,0,3.5767
7.16,2,0,3.58
7.36,2,0,0.1472
23.1,2,0,10.626
191.472,6,0.2,40.6878
5.248,2,0.2,0.5904
59.184,2,0.2,5.1786
2.89,1,0,1.3583
51.94,1,0,21.2954
15.936,4,0.2,5.1792
44.91,6,0.7,-35.928
1141.47,5,0.7,-760.98
280.782,3,0.4,-46.797
34.44,3,0,17.22
11.36,2,0,5.2256
106.344,7,0.2,37.2204
192.16,5,0.2,67.256
322.59,3,0,64.518
29.99,1,0,13.1956
371.97,3,0,66.9546
5.892,4,0.7,-4.1244
68.472,3,0.2,23.1093
1242.9,5,0.1,262.39
30.84,2,0,8.3268
13.48,4,0,5.9312
31.4,5,0,10.048
17.46,2,0,5.9364
13.944,3,0.2,4.5318
83.76,12,0,1.6752
37.66,7,0,18.4534
34.68,6,0,16.9932
149.95,5,0,14.995
51.312,3,0.2,18.6006
4.54,1,0,2.043
15.92,4,0,5.4128
543.92,8,0,135.98
155.82,7,0,42.0714
70.008,3,0.2,24.5028
15.648,2,0.2,5.0856
103.6,7,0,51.8
46.96,8,0,22.5408
8.904,2,0.7,-6.5296
10.44,5,0.2,3.393
18.336,4,0.8,-32.088
323.976,3,0.2,20.2485
20.04,3,0,9.6192
64.96,2,0,2.5984
12.96,2,0,6.2208
323.136,4,0.2,12.1176
90.93,7,0,2.7279
52.776,3,0.2,19.791
1199.8,4,0,323.946
1928.78,7,0,829.3754
352.38,2,0,81.0474
22.2,6,0,9.102
46.94,1,0,19.2454
143.73,9,0,56.0547
99.918,2,0.3,-18.5562
797.944,4,0.3,-56.996
8.568,3,0.8,-14.5656
149.352,3,0.2,50.4063
12.992,1,0.2,-0.812
24.56,2,0,6.8768
85.14,3,0,34.9074
21.99,1,0,10.5552
406.6,5,0,113.848
841.568,2,0.2,294.5488
15.552,3,0.2,5.4432
252,5,0.2,53.55
46.2,4,0,12.936
28.84,2,0,9.5172
14.592,3,0.2,2.5536
89.856,3,0.2,21.3408
13.872,3,0.2,5.0286
12.192,3,0.2,4.1148
45.056,8,0.2,15.2064
29.718,6,0.7,-21.7932
15.552,3,0.2,5.4432
447.696,2,0.2,33.5772
159.99,1,0,54.3966
12.96,2,0,6.2208
134.48,4,0,34.9648
17.12,2,0,8.0464
6.096,2,0.2,2.2098
1114.272,4,0.2,41.7852
32.4,5,0,15.552
540.57,3,0,140.5482
167.76,5,0.2,62.91
393.165,3,0.5,-204.4458
516.488,7,0.2,-12.9122
1007.232,6,0.2,75.5424
2065.32,12,0.4,-619.596
15.552,3,0.2,5.4432
25.344,6,0.2,7.92
25.472,4,0.2,7.6416
27.168,2,0.2,2.7168
78.8528,2,0.32,-11.596
173.8,5,0,43.45
29.592,1,0.2,2.5893
4.752,2,0.7,-3.168
15.552,3,0.2,5.6376
204.6,2,0,53.196
321.568,2,0.2,28.1372
6.24,2,0,3.0576
21.88,2,0,10.94
4.608,2,0.2,1.6704
9.82,2,0,4.8118
35.97,3,0,9.7119
12.96,2,0,6.2208
191.6,4,0,91.968
8.64,3,0,4.2336
501.81,3,0,0
127.104,6,0.2,28.5984
124.2,3,0.4,-31.05
18.588,2,0.7,-13.6312
30.072,3,0.2,10.1493
160.93,7,0,3.2186
75.792,3,0.2,25.5798
1.08,2,0.7,-0.792
3059.982,2,0.1,679.996
3.282,2,0.7,-2.6256
34.02,3,0,16.6698
599.292,6,0.1,93.2232
3.392,1,0.2,0.8056
559.984,2,0.2,55.9984
603.92,5,0.2,75.49
7.968,2,0.2,2.5896
27.968,4,0.2,9.4392
336.51,3,0.4,44.868
1.112,2,0.8,-1.8904
520.05,5,0,72.807
17.97,3,0,5.2113
1166.92,5,0.2,131.2785
14.624,2,0.2,5.484
10.23,3,0,4.9104
154.9,5,0,69.705
2715.93,7,0,1276.4871
617.97,3,0,173.0316
10.67,1,0,4.9082
36.63,3,0,9.8901
24.1,5,0,9.158
